model,validation_overall_hit_at_1,validation_conditional_hit_at_1,validation_mrr,validation_pr_auc,validation_roc_auc,class_weight,feature_count,selected
lexical_logistic,0.8526315789473684,0.8571428571428571,0.9061904761904762,0.5434100209131086,0.9807029246871136,None,5,False
dense_logistic,0.6736842105263158,0.6772486772486772,0.790176309758353,0.3973914407763941,0.9511876248000578,None,1,False
hybrid_logistic,0.868421052631579,0.873015873015873,0.9254385964912282,0.6441419341771109,0.9855721615383809,None,15,True
hybrid_rank_logistic,0.8473684210526315,0.8518518518518519,0.9162280701754386,0.721951256440005,0.989731289853945,None,18,False
